name_english,name_japanese,anime_manga_titles,favorites
"Lamperouge, Lelouch",(ルルーシュ・ランペルージ),"['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Picture Drama', 'Code Geass: Hangyaku no Lelouch Recaps', 'Code Geass: Hangyaku no Lelouch', 'Code Geass: Hankou no Suzaku', 'Code Geass: Nightmare of Nunnally']",169472
Levi,(リヴァイ),"['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin Season 3', 'Shingeki no Kyojin Season 3 Part 2', 'Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin: Kuinaki Sentaku - Full Color Kanzenban', 'Akudou']",141365
"Monkey D., Luffy",(モンキー・D・ルフィ),"['One Piece', 'One Piece Movie 01', 'One Piece Movie 02: Nejimaki-jima no Daibouken', 'One Piece', 'Wanted!', 'Cross Epoch']",138912
"Lawliet, L",(エル ローライト),"['Death Note', 'Death Note: Rewrite', 'Death Note', 'Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken', 'L Change the WorLd']",126706
"Roronoa, Zoro",(ロロノア・ゾロ),"['One Piece', 'One Piece Movie 01', 'One Piece Movie 02: Nejimaki-jima no Daibouken', 'One Piece', 'Cross Epoch', 'One Piece: Mugiwara Daigekijou']",110247
"Yagami, Light",(夜神 月),"['Death Note', 'Death Note: Rewrite', 'Death Note']",96492
"Zoldyck, Killua",(キルア・ゾルディック),"['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island', 'Hunter x Hunter']",96383
"Okabe, Rintarou",(岡部 倫太郎),"['Steins;Gate', 'Steins;Gate: Oukoubakko no Poriomania', 'Steins;Gate Movie: Fuka Ryouiki no Déjà vu', 'Steins;Gate', 'Steins;Gate: Boukan no Rebellion', 'Steins;Gate: Hiyoku Renri no Sweets Honey']",94874
"Elric, Edward",(エドワード・エルリック),"['Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist', 'Fullmetal Alchemist', 'Full Metal Alchemist: Prototype']",87683
"Uzumaki, Naruto",(うずまき ナルト),"['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!', 'Naruto', 'Naruto: Shiro no Douji, Keppu no Kijin', 'Naruto']",84277
Guts,(ガッツ),"['Kenpuu Denki Berserk', 'Berserk: Ougon Jidai-hen I - Haou no Tamago', 'Berserk: Ougon Jidai-hen II - Doldrey Kouryaku', 'Berserk']",81679
"Sakata, Gintoki",(坂田 銀時),"['Gintama', 'Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi', 'Gintama: Shiroyasha Koutan', 'Gintama', 'Gintama: 3-nen Z-gumi Ginpachi-sensei', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",73826
"Yeager, Eren",(エレン・イェーガー),"['Shingeki no Kyojin', 'Shingeki no Kyojin OVA', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",70227
"Makise, Kurisu",(牧瀬 紅莉栖),"['Steins;Gate', 'Steins;Gate: Oukoubakko no Poriomania', 'Steins;Gate Movie: Fuka Ryouiki no Déjà vu', 'Steins;Gate', 'Steins;Gate: Hiyoku Renri no Sweets Honey', 'Steins;Gate: Shijou Saikyou no Slight Fever']",65448
"Uchiha, Itachi",(うちは イタチ),"['Naruto: Shippuuden - Sunny Side Battle', 'Naruto', 'Naruto: Shippuuden', 'Naruto Hiden Series', 'Naruto Shinden Series', 'Naruto']",65386
"Gojou, Satoru",(五条 悟),"['Jujutsu Kaisen Official PVs', 'Jujutsu Kaisen', 'Jujutsu Kaisen 0 Movie', 'Jujutsu Kaisen', 'Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou']",59684
Emilia,(エミリア),"['Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Break Time', 'Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen']",55876
"Ackerman, Mikasa",(ミカサ・アッカーマン),"['Shingeki no Kyojin', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin Picture Drama', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",54827
"Kaneki, Ken",(金木 研),"['Tokyo Ghoul', 'Tokyo Ghoul √A', 'Tokyo Ghoul:re', 'Tokyo Ghoul', 'Tokyo Ghoul', 'Tokyo Ghoul']",51493
"Hikigaya, Hachiman",(比企谷 八幡),"['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue', 'Yahari 4-koma demo Ore no Seishun Love Comedy wa Machigatteiru.']",51450
Saitama,(サイタマ),"['One Punch Man', 'One Punch Man: Road to Hero', 'One Punch Man Specials', 'One Punch-Man']",47682
"Hatake, Kakashi",(はたけ カカシ),"['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto: Akaki Yotsuba no Clover wo Sagase', 'Naruto', 'Naruto Hiden Series', 'Naruto Shinden Series']",47681
"Spiegel, Spike",(スパイク・スピーゲル),"['Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop: Yose Atsume Blues', 'Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",46817
